Category,Sms,cleaned_sms
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By SALOME KALUNGA,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by salome kalungani grp member
scam,Nitumie tu kwenye hii voda 0699137921 jina JUMANNE YASINI MASAKA.,nitumie tu kwenye voda jina jumanne yasini masaka
scam,Hela tuma kwa namba hii 0655251448 jina LINUSI MALALO,hela tuma namba jina linusi malalo
scam,Utanitumia kwa hîi tigo 0657666983 j'ina ni ABDALLAH MWANAKU.,utanitumia hîi tigo jina abdallah mwanaku
trust,"Dah, umesikia kuhusu drama ya Aunt Ezekiel na mashabiki wake kwenye Insta Live?",dah umesikia kuhusu drama aunt ezekiel mashabiki wake kwenye insta live
scam,"Tigo CQGZ Imethibitishwa namba yako ya 078 ... imeshinda Tsh10,000,000.00/=million kutoka TUZO  POINTI ilikupokea Hela yako piga 0787-406-889 Asante",tigo cqgz imethibitishwa namba yako imeshinda tshmillion kutoka tuzo pointi ilikupokea hela yako piga asante
scam,au iyo ela nitumie kwenye M-Pesa hii 0676584303 Jina litoke 0676584303.,iyo ela nitumie kwenye mpesa jina litoke
scam,Samahani naomba itume kwenye tigo 0654321098 ABDALLAH MWANAKU.,samahani naomba itume kwenye tigo abdallah mwanaku
scam,Utanitumia. kwemye namba 0784862618 ya airtel jina HOSEA MKUMBUKWA.,utanitumia kwemye namba airtel jina hosea mkumbukwa
trust,Chukua maua yako,chukua maua yako
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0781476081 au 0781476081",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
scam,"IYO PESA ITUME KWENYE NAMBA HII 0783582817 JINA ITALETA PETER NYANGE NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta peter nyange nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,MPIGIE MZEE RAMATUNGU WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0747878264,mpigie mzee ramatungu wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
trust,"Tunaweza kuandaa tukio la pamoja mwezi ujao, hebu fikiria wazo hili.",tunaweza kuandaa tukio la pamoja mwezi ujao hebu fikiria wazo hili
trust,Mashindano ya CAF Champions League mwaka huu yana ushindani mkubwa sana.,mashindano caf champions league mwaka huu yana ushindani mkubwa
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA Halotel NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya halotel nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,0675259049 Jina litakuja HADIJA LAI Nitumie kwenye hiyo Halotel,jina litakuja hadija lai nitumie kwenye halotel
scam,0755896103 Jina litakuja KHADIJA SUMBAI Nitumie kwenye hiyo voda,jina litakuja khadija sumbai nitumie kwenye voda
trust,Nasikia Konde Gang wanapanga kufanya tamasha kubwa Dodoma mwaka huu.,nasikia konde gang wanapanga kufanya tamasha kubwa dodoma mwaka huu
scam,Utanitumia kwenye ii 0615810764 Vodacom jina LUKA KIMBANGU namba yangu inadeni usiitumie,utanitumia kwenye ii vodacom jina luka kimbangu namba inadeni usiitumie
scam,"Mpigie Mzee LINUSI MALALO kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0657538690",mpigie mzee linusi malalo tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,Iyo ela tuma humu kwenye tigo 0689592818 Jina lije Magomba Maila.,iyo ela tuma humu kwenye tigo jina lije magomba maila
scam,Au nitumie kwenye HaloPesa Namba.0786543210 jina litakuja SALOME KALUNGA,nitumie kwenye halopesa namba jina litakuja salome kalunga
scam,Utanitumia kwenye ii 0615810764 airtel jina MARIAM NDUGAI namba yangu inadeni usiitumie,utanitumia kwenye ii airtel jina mariam ndugai namba inadeni usiitumie
trust,"Bro, uliona VAR ilivyoamua ile offside? Nafikiri hawakuwa sahihi.",bro uliona var ilivyoamua ile offside nafikiri hawakuwa sahihi
scam,Iyo Hela itume humu kwenye HALOTEL 0787-406-889 jina lije ABDALLAH MWANAKU.,iyo hela itume humu kwenye halotel jina lije abdallah mwanaku
scam,"IYO PESA ITUME KWENYE NAMBA HII 0786543210 JINA ITALETA RAMATUNGU NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta ramatungu nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,MZEE HADIJA LAI tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0782435667)(0782435667),mzee hadija lai tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,Iyo Pesa itume humu kwenye TIGO 0747878264 jina lije JOACHIM KAPUFI.,iyo pesa itume humu kwenye tigo jina lije joachim kapufi
trust,"Usikate tamaa, kila kitu kitaenda sawa.",usikate tamaa kila kitu kitaenda sawa
trust,"Nimepokea taarifa kuhusu malipo, nafuatilia ili kuhakikisha kila kitu kiko sawa.",nimepokea taarifa kuhusu malipo nafuatilia ili kuhakikisha kila kitu kiko sawa
trust,Unapenda pizza au chips kuku?,unapenda pizza chips kuku
scam,Iyo Pesa itume humu kwenye tigo 0698018072 jina lije HOSEA MKUMBUKWA.,iyo pesa itume humu kwenye tigo jina lije hosea mkumbukwa
trust,Hiyo stori uliyoniambia jana bado inanishangaza! Hahaha.,stori uliyoniambia jana bado inanishangaza hahaha
trust,Tafadhali nijulishe kama una muda kesho.,tafadhali nijulishe kama una muda kesho
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya Vodacom. Mbona kimya na siku zinazidi kwenda...?,habari asubuhi mwenye nyumba wako namba vodacom mbona kimya siku zinazidi kwenda
scam,"Imethibitishwa, namba yako ya 0733822240 imejishindia TSH 1,500,000 kutoka TUZO  POINTI. Piga 0733822240 ili kupokea Pesa yako.",imethibitishwa namba yako imejishindia tsh kutoka tuzo pointi piga ili kupokea pesa yako
scam,Utanitumia kwa hîi vodacom 0783582817 j'ina ni Magomba Maila.,utanitumia hîi vodacom jina magomba maila
trust,"Bro, umesikia Bongo Movie Awards mwaka huu wameongeza kipengele cha digital content?",bro umesikia bongo movie awards mwaka huu wameongeza kipengele cha digital content
scam,Iyo Pesa itume humu kwenye Airtel 0675259049 jina lije JENEROZA ROCK BENEDICTO.,iyo pesa itume humu kwenye airtel jina lije jeneroza rock benedicto
scam,"Mpigie Mzee MARIAM NDUGAI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0675259049",mpigie mzee mariam ndugai tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550767274553",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,"Imethibitishwa, namba yako ya 0657538690 imejishindia TSH 5,000,000 kutoka TUZO  POINTI. Piga 0657538690 ili kupokea hela yako.",imethibitishwa namba yako imejishindia tsh kutoka tuzo pointi piga ili kupokea hela yako
trust,Nitakutembelea wiki ijayo na zawadi ndogo kutoka nyumbani.,nitakutembelea wiki ijayo zawadi ndogo kutoka nyumbani
scam,ela tuma kwa namba hii 0788542784 jina RAMATUNGU,ela tuma namba jina ramatungu
trust,Nitakupigia simu baada ya mkutano wangu.,nitakupigia simu baada mkutano wangu
trust,"Nitakutumia picha za tukio la jana, utazipenda.",nitakutumia picha tukio la jana utazipenda
scam,TUMIA NAMBA HII (0767274553)KUNITUMIA IYO HELA JINA LITAONYESHA (MARIAM NDUGAI),tumia namba kunitumia iyo hela jina litaonyesha mariam ndugai
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.,mjukuu wangu ndagu niliyokukabizi uwe makini pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa mda mfupi sasa umeona mwenyewe siri usitowe mtu yoyote utajili huo mkubwa utaweza kuweka miladi kira aina popote pale unipigie nikuelekeze
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0786543210 AU 0786543210",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,"Mpigie Mzee MARIAM NDUGAI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0767274553",mpigie mzee mariam ndugai tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By PEREGIA FILIPO,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by peregia filiponi grp member
scam,"Congratulations! Your CV has passed. You can get 2,000,000TZS in a day. for details: wa.me/2550789723456",congratulations your cv has passed you can get tzs in a day for details wame
scam,"halotel PSK4 Imethibitishwa namba yako ya 065 ... imeshinda Tsh4,000,000.00/=million kutoka Tuzo Point ilikupokea ela yako piga 0696530433 Asante",halotel psk imethibitishwa namba yako imeshinda tshmillion kutoka tuzo point ilikupokea ela yako piga asante
scam,tuma kwenye namba hii ya HaloPesa 0695567435 jina litakuja JUMANNE YASINI MASAKA Ukituma unijulishe,tuma kwenye namba halopesa jina litakuja jumanne yasini masaka ukituma unijulishe
scam,"Mpigie Mzee JUMANNE YASINI MASAKA kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0657538690",mpigie mzee jumanne yasini masaka tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
trust,"Yule kipa wa Liverpool ana reflex za ajabu, amewashangaza wote.",yule kipa wa liverpool ana reflex ajabu amewashangaza wote
trust,Dah! Mpaka Raha yani nimevutiwa sana,dah mpaka raha yani nimevutiwa
trust,Hali ya nyumbani imekaaje leo?,hali nyumbani imekaaje leo
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA VODACOM NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya vodacom nakumbushia kodi mana naona kimya naomba tuwa siriane
trust,"Hiyo bidhaa uliyoagiza inapatikana sasa, unahitaji kuituma lini?",bidhaa uliyoagiza inapatikana sasa unahitaji kuituma lini
trust,Tafadhali unisaidie kuandaa kikao cha familia yetu.,tafadhali unisaidie kuandaa kikao cha familia
trust,Nimefurahia sana jinsi ulivyosaidia kwenye kikao cha jana.,nimefurahia jinsi ulivyosaidia kwenye kikao cha jana
scam,Iyo ela tuma humu kwenye vodacom 0655251448 Jina lije ALLY ISSA,iyo ela tuma humu kwenye vodacom jina lije ally issa
scam,We need urgently Need Staff salary 120000TZS. Reach HR team at: wa.me/2550767274553.,we need urgently need staff salary tzs reach hr team at wame
scam,"tigo 0E7D Imethibitishwa namba yako ya 061 ... imeshinda Tsh2,000,000.00/=million kutoka VODA OFA ilikupokea ela yako piga 0615810764 Asante",tigo ed imethibitishwa namba yako imeshinda tshmillion kutoka voda ofa ilikupokea ela yako piga asante
scam,Iyo Hela itume humu kwenye vodacom 0696530433 jina lije LUKA KIMBANGU.,iyo hela itume humu kwenye vodacom jina lije luka kimbangu
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0676584303 au 0676584303",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
scam,Basi iyo hela nitumie kwenye namba hii 0615810764 jina litakuja (JUMA SIKAREKO) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja juma sikareko ile namba usitumie laini inamatatizo
scam,"IYO PESA ITUME KWENYE NAMBA HII 0698018072 JINA ITALETA LINUSI MALALO NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta linusi malalo nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
trust,Ninaomba uniletee sukari kidogo ukitoka kazini.,ninaomba uniletee sukari kidogo ukitoka kazini
scam,MZEE SALOME KALUNGA tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0733822240)(0733822240),mzee salome kalunga tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
trust,Mimi na familia yangu tunakutakia heri na baraka tele.,familia tunakutakia heri baraka tele
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
scam,tuma kwenye namba hii ya m-pesa 0755896103 jina litakuja RAMATUNGU Ukituma unijulishe,tuma kwenye namba mpesa jina litakuja ramatungu ukituma unijulishe
trust,"Nahitaji msaada wako kesho, utaweza?",nahitaji msaada wako kesho utaweza
scam,Iyo ela tuma humu kwenye HALOTEL 0781476081 Jina lije JUMANNE YASINI MASAKA,iyo ela tuma humu kwenye halotel jina lije jumanne yasini masaka
trust,Naomba uniunganishe na rafiki yako.,naomba uniunganishe rafiki yako
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550676584303",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
scam,Utanitumia. kwemye namba 0689592818 ya vodacom jina JUMA SIKAREKO.,utanitumia kwemye namba vodacom jina juma sikareko
scam,"VODA OFA hongera umepata zawadi Sh10,000,000 milioni kutoka (VODA OFA) piga sim,.0781476081 kupata zawadi  asante",voda ofa hongera umepata zawadi sh milioni kutoka voda ofa piga sim kupata zawadi asante
scam,Nitumie tu kwenye hii VODACOM 0782734560 jina LUKA KIMBANGU.,nitumie tu kwenye vodacom jina luka kimbangu
scam,Iyo ela tuma humu kwenye tigo 0755896103 Jina lije JOACHIM KAPUFI,iyo ela tuma humu kwenye tigo jina lije joachim kapufi
scam,"Habari za mchana,mimi LINUSI MALALO,hii namba yangu ya vodacom.Vp mbona shem LINUSI MALALO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari mchanamimi linusi malalohii namba vodacomvp mbona shem linusi malalo anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba meseji simu imekufa maik ndugu
trust,"Samahani kwa usumbufu, lakini kuna jambo muhimu.",samahani usumbufu lakini kuna jambo muhimu
trust,"Bro, uliona yule TikToker maarufu alipata dili la matangazo? Jamaa anazidi kufanikiwa.",bro uliona yule tiktoker maarufu alipata dili la matangazo jamaa anazidi kufanikiwa
scam,TUMIA NAMBA HII (0657666983)KUNITUMIA IYO HELA JINA LITAONYESHA (MWANAIDI KHAMISI),tumia namba kunitumia iyo hela jina litaonyesha mwanaidi khamisi
trust,"Nimemaliza kufanya usafi, kazi nyingine ni ipi?",nimemaliza kufanya usafi kazi nyingine ipi
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.,mjukuu wangu ndagu niliyokukabizi uwe makini pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa mda mfupi sasa umeona mwenyewe siri usitowe mtu yoyote utajili huo mkubwa utaweza kuweka miladi kira aina popote pale unipigie nikuelekeze
scam,Naomba unitumie iyo ela kwenye namba hii ya Vodacom 0781476081. jina (HADIJA LAI),naomba unitumie iyo ela kwenye namba vodacom jina hadija lai
scam,Au nitumie kwenye AirtelMoney Namba.0767274553 jina litakuja JENEROZA ROCK BENEDICTO,nitumie kwenye airtelmoney namba jina litakuja jeneroza rock benedicto
trust,Sasa kuna ubaya gani kufanya hivyo?? ,sasa kuna ubaya gani kufanya hivyo
trust,Huyu mtu kapitia mazito sana aisee hakika kuna funzo kubwa sana katika yale aliyopitia,huyu mtu kapitia mazito aisee hakika kuna funzo kubwa yale aliyopitia
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.,mjukuu wangu ndagu niliyokukabizi uwe makini pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa mda mfupi sasa umeona mwenyewe siri usitowe mtu yoyote utajili huo mkubwa utaweza kuweka miladi kira aina popote pale unipigie nikuelekeze
scam,Habari za siku. Mimi  mwenye nyumba wako hii namba yangu ya halotel. Mbona kimya na siku zinazidi kwenda...?,habari siku mwenye nyumba wako namba halotel mbona kimya siku zinazidi kwenda
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0788542784 au 0788542784",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
scam,"Congratulations! Your CV has passed. You can get 6,000,000TZS in a day. for details: wa.me/2550786543210",congratulations your cv has passed you can get tzs in a day for details wame
trust,Naomba uniwekee miadi kwa ajili ya kesho.,naomba uniwekee miadi ajili kesho
trust,Nashukuru kwa kupokea simu yangu. Tutalifanyia kazi tatizo hili na kurudi kwetu kwa haraka.,nashukuru kupokea simu tutalifanyia kazi tatizo hili kurudi kwetu haraka
trust,"Timu yangu ni Manchester City, lakini nafurahia kuona PSG wakipambana.",timu manchester city lakini nafurahia kuona psg wakipambana
scam,"Mpigie Mzee Magomba Maila kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0782734560",mpigie mzee magomba maila tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,TUMIA NAMBA HII (0782734560)KUNITUMIA IYO HELA JINA LITAONYESHA (Ester kalobelo),tumia namba kunitumia iyo hela jina litaonyesha ester kalobelo
trust,Asante kwa kunijali na kunielewa.,asante kunijali kunielewa
scam,"IYO PESA ITUME KWENYE NAMBA HII 0733822240 JINA ITALETA NASHONI MBIRIBI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta nashoni mbiribi nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
trust,Ninakuombea maisha marefu na yenye furaha.,ninakuombea maisha marefu yenye furaha
trust,Leo jioni tuna shughuli ya usafi wa mazingira. Tafadhali shiriki.,leo jioni tuna shughuli usafi wa mazingira tafadhali shiriki
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0755896103 au 0755896103",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
scam,"Mpigie Mzee FEBU SHADI WILISON kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0789723456",mpigie mzee febu shadi wilison tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,Nitumie tu kwenye hii Halotel 0767274553 jina JOACHIM KAPUFI.,nitumie tu kwenye halotel jina joachim kapufi
scam,"Congratulations! Your CV has passed. You can get 6,000,000TZS in a day. for details: wa.me/2550657538690",congratulations your cv has passed you can get tzs in a day for details wame
trust,"Ningependa kukutana na wewe ili tuzungumze kuhusu project yetu. Je, kesho inafaa?",ningependa kukutana ili tuzungumze kuhusu project kesho inafaa
scam,Naomba unitumie iyo ela kwenye namba hii ya voda 0695567435. jina (LUKA KIMBANGU),naomba unitumie iyo ela kwenye namba voda jina luka kimbangu
scam,0782734560 Jina litakuja JUMA SIKAREKO Nitumie kwenye hiyo TIGO,jina litakuja juma sikareko nitumie kwenye tigo
scam,Iyo ela tuma humu kwenye airtel 0695567435 Jina lije OLIVA MATIAS.,iyo ela tuma humu kwenye airtel jina lije oliva matias
trust,"Nimepata ujumbe wako, nitakujibu baadaye.",nimepata ujumbe wako nitakujibu baadaye
trust,"Dah, yule TikToker maarufu ameanza kuuza bidhaa zake, watu wanasema zina bei kali sana!",dah yule tiktoker maarufu ameanza kuuza bidhaa zake watu wanasema zina bei kali
scam,"Dear, No need to go out work, just at home to earn 2,000,000TZS a day, please contact us: https://wa.me/2550755667788",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,MZEE LUKA KIMBANGU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0787-406-889)(0787-406-889),mzee luka kimbangu tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,"Dear, No need to go out work, just at home to earn 1,500,000TZS a day, please contact us: https://wa.me/2550699137921",dear no need to go out work just at home to earn tzs a day please contact us httpswame
trust,"Nataka tuonane leo jioni, kuna jambo muhimu nataka kukwambia.",nataka tuonane leo jioni kuna jambo muhimu nataka kukwambia
scam,0786543210 Jina litakuja HADIJA LAI Nitumie kwenye hiyo VODACOM,jina litakuja hadija lai nitumie kwenye vodacom
trust,Pole sana brother,pole brother
trust,Unakumbuka ile ahadi yako kwangu?,unakumbuka ile ahadi yako kwangu
trust,Hiyo penalti iliyopewa Chelsea haikuwa haki kabisa!,penalti iliyopewa chelsea haikuwa haki kabisa
trust,Ninashukuru sana kwa kuwa nami wakati mgumu.,ninashukuru kuwa nami wakati mgumu
scam,mjukuu wangu utafuta ji wako mgumu Pesa hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0783654321,mjukuu wangu utafuta ji wako mgumu pesa hazikai mkononi pakazinaisha unasota mpenzi hamuelewani utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no
